Yhtio;Potentiaali;Riskitaso;Tavoitehinta;Kurssi;LV:n kasvu%;LV:n kasvu%2;EBIT%;EBIT%2;ROE%;ROE%2;ROI%;ROI%2;Omavaraisuusaste;Nettovelkaisuus;EV/EBITDA;EV/EBITDA2;P/E;P/E2;Osinkotuotto-%;Osinkotuotto-%2;P/B;P/B2;EV/Liikevaihto;EV/Liikevaihto2;EV/EBIT;EV/EBIT2;MCAP;EV
Remedy;-2;3;38;39;10,38;15,56;33,05;34,66;30,05;29,33;34,28;35,26;83,05;-65,96;27,88;19,09;39,47;32,58;1,03;1,41;10,59;8,7;9,81;8,33;29,68;24,04;467,11;441,4
Next Games;-36;4;1,3;2,1;65,78;22,75;-2,45;2,06;-5,4;4,9;-4,77;5,14;61,86;-4,19;20,56;11,64;-55,77;61,59;0;0;3,1;2,95;1,27;1,02;-51,78;49,59;57,1;57,99
Endomines;8;4;3,2;3,05;1134,34;66,68;-4,37;8,02;-4,85;5,79;-1,2;3,29;46,07;77,04;16,18;8,15;-22,25;18,55;0;0;1,11;1,04;3,71;2,34;-84,96;29,23;387,36;679,7
Incap;6;3;20;18,45;11,51;4,5;11,42;11,6;21,39;19,36;22,58;22,39;63,44;-20,13;5,95;5,39;11,02;10,32;1,9;2,17;2,17;1,85;0,83;0,74;7,28;6,38;110;97,4
Kesla;8;3;4,6;4,27;13,87;11,65;3,65;4,48;8,67;11,17;6,57;8,12;39,15;94,58;8,82;7,39;12,92;9,31;3,51;4,68;1,08;1;0,62;0,55;16,93;12,36;14,43;27,08
Lehto Group;-14;4;1,2;1,35;-5,51;3,36;2,78;4,15;6,58;10,73;5,29;8,47;35,04;42,63;8,13;5,9;13,86;7,86;2,22;2,96;0,88;0,81;0,34;0,32;12,38;7,7;121,06;174,37
Nurminen Logistics;-46;4;0,25;0,45;3,97;3;1,5;1,64;35,9;24,57;2,65;3,02;-9,57;-868,89;9,67;9,75;-9,73;-10,57;0;0;-2,96;-2,31;0,83;0,82;55,24;49,89;20,53;63,53
Wulff-Yhtiot;9;2;3,5;3,24;4,86;1,9;4,85;4,7;13,6;12,81;12,69;12,48;41,9;38,62;6,18;6,19;11,66;11,51;4,01;4,32;1,53;1,43;0,47;0,43;9,67;9,24;22,25;28,05
Yleiselektroniikka;1;3;29;29,4;28,76;3;6,37;6,82;25,53;24,29;16,32;15,78;29,9;93,46;9,48;8,59;17,18;13,05;1,36;1,5;3,53;2,89;0,76;0,72;11,93;10,53;74,02;95,58
Raisio;-1;2;3,2;3,19;5,16;5,14;11,17;11,71;8,48;8,94;10,35;11,17;87,46;-27,66;11,78;10,57;21,65;20,36;4,39;4,7;1,83;1,81;1,76;1,67;15,8;14,25;509,81;426
Ilkka-Yhtyma;-5;2;4;4,2;4,49;0,76;3,84;4,3;3,93;4,22;1,31;1,48;83,03;-30,26;13,44;12,86;20,8;19,32;4,76;5;0,82;0,81;1,43;1,39;37,2;32,3;107,65;67,33
Kamux;0;1;14;13,6;18,42;15,54;4,24;4,35;26,79;27,18;28,94;28,95;50,06;-9,79;11,82;10,2;19,64;16,46;2,43;2,94;4,87;4,14;0,63;0,54;14,78;12,4;558,68;533,34
PunaMusta Media;-5;3;5,3;5,55;5,23;1,62;2,38;3,93;5,89;8,66;4,47;7,37;49,34;24,01;6,9;6,15;27,46;18,02;2,7;5,41;1,6;1,53;0,74;0,67;31,23;17,07;70,11;79,95
Aktia;2;2;10;9,79;9,98;5,04;32,67;34,53;8,92;9,93;11,15;12,41;5,89;0;9,59;8,63;11,98;10,79;6,64;7,46;1,09;1,06;3,13;2,98;9,59;8,63;687,45;687,45
Sievi Capital;3;2;1,15;1,08;0;0;450;495;9,33;9,63;10,91;12,04;94,82;-4,49;6,56;6,2;8,7;7,91;4,63;4,63;0,79;0,74;29,52;30,68;6,56;6,2;64,93;59,04
Digia;-9;2;7,2;7,52;12,39;5;10,93;10,9;19,79;18,14;17,6;18,44;53,14;17,45;9,32;8,56;13,4;12,93;2,26;2,66;2,82;2,5;1,37;1,24;12,58;11,4;212,41;214,16
SSH;-41;4;1;1,7;29,35;25,21;-1,43;6,63;-21,82;-2,6;-2,49;16,12;65,76;-88,23;37,16;20,57;-40,49;-386,19;0;0;9,92;10,18;4,78;3,83;-339,79;57,72;65,96;71,36
F-Secure;-9;2;3,5;3,84;5,49;5,36;9,79;10,57;16,1;16,49;17,49;18,79;59,06;-31,09;14,53;13,36;32,37;28,35;1,04;1,3;5,69;5,1;2,48;2,28;25,29;21,55;608,76;573,27
Evli Pankki;-1;2;12;12,2;13,53;5,92;36,42;37,39;26,29;29,34;3,93;4,18;9,02;-2,92;7,78;7,18;13,26;11,31;7,13;8,44;3,4;3,23;3,38;3,11;9,28;8,32;292,82;287,53
Loudspring;-20;4;0,36;0,46;2,56;0;-360;-360;-12,33;-11,1;-7,56;-7,59;54,99;74,18;-25,91;-26,51;-20,27;-25,34;0;0;2,66;2,98;93,28;95,43;-25,91;-26,51;14,37;18,66
EAB Group;-19;3;2,7;3,14;17,79;7,75;16,25;19,87;12,49;16,01;14,89;19,78;68,96;-1,71;7,13;6,07;16,76;11,73;3,5;4,46;1,97;1,79;1,98;1,72;12,17;8,66;45,95;43,08
